operatingSystemServicePack|logonCount|cn|description|dNSHostName|whenChanged|lastLogon|whenCreated|operatingSystemVersion|displayname|operatingSystem|name
Service Pack 2|3043|ENFS||enfs.eastnets.com|2013-08-09T22:36:19.000000000|2013-08-18 20:38:54|2003-12-08T08:53:35.000000000|6.0 (6002)||Windows Server® 2008 Standard|ENFS
Service Pack 2|65535|ENDXBMAIL001||endxbmail001.eastnets.com|2013-08-14T04:34:19.000000000|2013-08-18 07:38:32|2008-08-24T12:33:04.000000000|5.2 (3790)||Windows Server 2003|ENDXBMAIL001
Service Pack 4||ENSBPILOT||ensbpilot.eastnets.com|2008-08-28T04:34:22.000000000||2004-04-13T13:24:09.000000000|5.0 (2195)||Windows 2000 Server|ENSBPILOT
Service Pack 2||SHARKAS||Sharkas.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-20T06:08:34.000000000|5.1 (2600)||Windows XP Professional|SHARKAS
Service Pack 4||ENSRV||ensrv.eastnets.com|2008-08-28T04:29:02.000000000||2003-11-24T08:37:03.000000000|5.0 (2195)||Windows 2000 Server|ENSRV
||ENTURDC||enturdc.eastnets.com|2008-08-28T04:29:02.000000000||2005-11-26T16:13:48.000000000|5.0 (2195)||Windows 2000 Server|ENTURDC
Service Pack 2|184|MANAGMENT||managment.eastnets.com|2010-11-27T09:42:20.000000000|2010-12-04 14:38:53|2008-08-02T16:44:29.000000000|5.2 (3790)||Windows Server 2003|MANAGMENT
Service Pack 1||GEOFFLAND||Geoffland.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T10:27:18.000000000|5.1 (2600)||Windows XP Professional|GEOFFLAND
Service Pack 3||NEWSERVER||newserver.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-07T10:18:28.000000000|5.0 (2195)||Windows 2000 Server|NEWSERVER
Service Pack 4||NOUMANT||noumant.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-23T11:56:45.000000000|5.0 (2195)||Windows 2000 Server|NOUMANT
Service Pack 3||RAMACHAKAKI||RamaChakaki.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-04T05:42:54.000000000|5.0 (2195)||Windows 2000 Professional|RAMACHAKAKI
||RAY||ray.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T13:08:07.000000000|5.0 (2195)||Windows 2000 Professional|RAY
Service Pack 2||HAZEM01||HAZEM01.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T10:05:56.000000000|5.1 (2600)||Windows XP Professional|HAZEM01
||ALIA||Alia.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T12:18:51.000000000|5.0 (2195)||Windows 2000 Professional|ALIA
Service Pack 1||AABUHIJLEH||AAbuhijleh.eastnets.com|2008-08-31T06:23:34.000000000||2003-12-01T10:48:13.000000000|6.0 (6001)||Windows Vista™ Enterprise|AABUHIJLEH
Service Pack 4||SHABEEL|||2008-08-28T04:34:22.000000000||2004-03-22T05:44:56.000000000|5.0 (2195)||Windows 2000 Professional|SHABEEL
Service Pack 2||SRINI||Srini.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-02T08:07:26.000000000|5.0 (2195)||Windows 2000 Server|SRINI
Service Pack 2||CLIENT1234|||2008-08-28T04:34:22.000000000||2004-04-22T09:09:48.000000000|5.0 (2195)||Windows 2000 Professional|CLIENT1234
