"","*** Alcohol Soft/DAEMON Tools ***"
"000","CyberLink PowerDVD FCL Driver"
"000008C6","*** UNKNOWN - PLEASE PULL BACK ***"
"000009ED","*** UNKNOWN - PLEASE PULL BACK ***"
"00000C06","*** POSSIBLE MALWARE - FOLLOW GUIDANCE ***"
"00000D61","*** UNKNOWN - PLEASE PULL BACK ***"
"000032a0","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"0445612","!!! PSP: Kaspersky Virus Removal Tool !!!"
"04456120","!!! PSP: Kaspersky Virus Removal Tool !!!"
"04456121","!!! PSP: Kaspersky Virus Removal Tool !!!"
"04456122","!!! PSP: Kaspersky Virus Removal Tool !!!"
"0488680","!!! PSP: Kaspersky Virus Removal Tool !!!"
"04886801","!!! PSP: Kaspersky Virus Removal Tool !!!"
"04886802","!!! PSP: Kaspersky Virus Removal Tool !!!"
"04mmdat","Symantec VERITAS Backup Exec"
"0797952","!!! PSP: Kaspersky Virus Removal Tool !!!"
"07979521","!!! PSP: Kaspersky Virus Removal Tool !!!"
"07979522","!!! PSP: Kaspersky Virus Removal Tool !!!"
"08325818","!!! PSP: Kaspersky Virus Removal Tool !!!"
"09355025","!!! PSP: Kaspersky Virus Removal Tool !!!"
"0o8PMBlx","*** UNKNOWN - PLEASE PULL BACK ***"
"1394BUS","Microsoft Network Driver"
"1394ohci","*** SENTRYTRIBE MENTAL ***"
"1394vdbg","Microsoft 1394 Virtual Host Debugger Driver"
"1585388","!!! PSP: Kaspersky Virus Removal Tool !!!"
"15853881","!!! PSP: Kaspersky Virus Removal Tool !!!"
"15853882","!!! PSP: Kaspersky Virus Removal Tool !!!"
"16114825","!!! PSP: Kaspersky Virus Removal Tool !!!"
"1932999","!!! PSP: Kaspersky Virus Removal Tool !!!"
"19329991","!!! PSP: Kaspersky Virus Removal Tool !!!"
"19329992","!!! PSP: Kaspersky Virus Removal Tool !!!"
"3112Rx47","Silicon Image SATA Raid Controller Driver"
"360AntiArp","!!! PSP: 360Safe Security Center !!!"
"360AntiARP","!!! PSP: 360Safe Security Center !!!"
"360netmon","!!! PSP: 360Safe Security Center !!!"
"360procmon","!!! PSP: 360Safe Security Center !!!"
"360SelfProtection","!!! PSP: 360Safe Security Center !!!"
"360TimeProt","!!! PSP: 360Safe Security Center !!!"
"36292571","!!! PSP: Kaspersky Virus Removal Tool !!!"
"3805059","!!! PSP: Kaspersky Virus Removal Tool !!!"
"38050591","!!! PSP: Kaspersky Virus Removal Tool !!!"
"38050592","!!! PSP: Kaspersky Virus Removal Tool !!!"
"39268890","!!! PSP: Kaspersky Virus Removal Tool !!!"
"39268891","!!! PSP: Kaspersky Virus Removal Tool !!!"
"39268892","!!! PSP: Kaspersky Virus Removal Tool !!!"
"3wareDrv","AMCC 3ware 9000 Series RAID Controller"
"3wDrv100","3ware Escalade ATA RAID Controller Driver"
"3wFlt100","3ware Escalade ATA RAID Controller Driver"
"3xHybrid","ASUS Hybrid TV Tuner"
"43612221","!!! PSP: Kaspersky Virus Removal Tool !!!"
"43612222","!!! PSP: Kaspersky Virus Removal Tool !!!"
"4mmdat","SCSI Tape Driver"
"50578470","!!! PSP: Kaspersky Virus Removal Tool !!!"
"50578471","!!! PSP: Kaspersky Virus Removal Tool !!!"
"50578472","!!! PSP: Kaspersky Virus Removal Tool !!!"
"560Tw2k","D-Link PCI Express Ethernet Controller Driver"
"59389811","!!! PSP: Kaspersky Virus Removal Tool !!!"
"59389812","!!! PSP: Kaspersky Virus Removal Tool !!!"
